rank,percentile
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
1,100.00
2,99.98
2,99.98
2,99.98
2,99.98
2,99.98
2,99.98
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
2,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
3,100.00
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,99.99
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
4,100.00
5,99.99
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
5,100.00
6,99.99
6,99.99
6,99.99
6,99.99
6,99.99
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
6,100.00
7,99.99
7,99.99
7,99.99
7,99.99
7,99.99
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
7,100.00
8,99.98
8,99.98
8,99.99
8,99.99
8,99.99
8,99.99
8,99.99
8,99.99
8,99.99
8,99.99
8,99.99
8,100.00
8,100.00
8,100.00
8,100.00
8,100.00
8,100.00
8,100.00
8,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
9,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
10,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
11,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
12,100.00
13,100.00
13,100.00
13,100.00
13,100.00
13,100.00
13,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
14,100.00
15,99.99
15,99.99
15,99.99
15,99.99
15,99.99
15,99.99
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
15,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
16,100.00
17,99.99
17,99.99
17,99.99
17,99.99
17,99.99
17,99.99
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
17,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
18,100.00
19,99.99
19,99.99
19,99.99
19,99.99
19,99.99
19,99.99
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
19,100.00
20,99.98
20,99.98
20,99.98
20,99.98
20,99.98
20,99.99
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
20,100.00
21,99.99
21,99.99
21,99.99
21,99.99
21,99.99
21,99.99
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
21,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
22,100.00
23,99.98
23,99.98
23,99.98
23,99.98
23,99.98
23,99.98
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
23,100.00
24,99.96
24,99.96
24,99.96
24,99.96
24,99.96
24,99.96
24,99.98
24,99.98
24,99.98
24,99.98
24,99.98
24,99.98
24,99.99
24,99.99
24,99.99
24,99.99
24,99.99
24,99.99
24,99.99
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
24,100.00
25,99.98
25,99.98
25,99.98
25,99.99
25,99.99
25,99.99
25,99.99
25,99.99
25,99.99
25,99.99
25,100.00
25,100.00
25,100.00
